Category,Subcategory,Dataset / Link Title,Provider,Link (URL),Access / Format,Coverage / Notes,Scope,Historic Years Available,Update Frequency
Foundation,Roadway Network,"GDOT GIS REST Services (roadway network, bridges, permits, railroad crossings)",Georgia DOT (GDOT),https://egisp.dot.ga.gov/arcgis/rest/services,Service directory (REST),"Multiple map/feature services: roadway network, bridge load limits, permits, railroad crossings, EOC",Georgia,N/A (live service),Continuous
Foundation,Roadway Network,GDOT Road Inventory Data (ORIDA),Georgia DOT,https://www.dot.ga.gov/GDOT/Pages/RoadTrafficData.aspx,Geodatabase; Excel; PDF,"125,000+ centerline miles of public roads; functional class, routes, NHS, bridges, boundaries",Georgia,N/A (live service),Continuous
Foundation,Roadway Network,GDOT Functional Classification Map Service,Georgia DOT / UGA ITOS,https://maps.itos.uga.edu/arcgis/rest/services/GDOT/GDOT_FunctionalClass/MapServer,ArcGIS MapServer REST,"Interstates, freeways, arterials, collectors, local roads, bridge locations",Georgia,N/A (live service),Continuous
Foundation,Roadway Network,Highway Performance Monitoring System (HPMS) - Public Release Geospatial,FHWA / Data.gov,https://catalog.data.gov/dataset/highway-performance-monitoring-system-hpms-b7a2f,Download (shapefiles),"National HPMS segments; AADT, functional class, lanes, speed limit; filter to Georgia",U.S.,2012-2023,Annual
Foundation,Roadway Network,GDOT State Route Prioritization (SRP),Georgia DOT (GDOT),https://rnhp.dot.ga.gov/hosting/rest/services/EOC/State_Route_Prioritization/MapServer/0,GIS REST service,"Priority levels: Critical, High, Medium, Low for state routes",Georgia,2015-present,Annual
Asset Preservation,Bridges,National Bridge Inventory (NBI) – Data & Downloads,FHWA,https://www.fhwa.dot.gov/bridge/nbi.cfm,Download; API & files,"Official bridge inventory; sufficiency rating, deck/superstructure/substructure condition, vertical clearance",U.S.,1992-2025,Annual
Safety,Crash Data,GDOT Crash Data Dashboard,Georgia DOT (GDOT),https://gdot.aashtowaresafety.net/crash-data,Interactive dashboard,"Crash and vehicle data on Georgia public roads; filtering by city, county, region",Georgia,Multi-year,Continuous
Safety,Crash Data,GEARS (Georgia Electronic Accident Reporting System),GDOT / LexisNexis,https://www.gearsportal.com/,Restricted; requires agreement,Statewide crash report repository; requires data-sharing agreement with GDOT,Georgia,Multi-year,Continuous
Safety,Crash Data,FARS (Fatality Analysis Reporting System),NHTSA,https://www.nhtsa.gov/FARS,Download (CSV/SAS); FTP; API,"Census of all fatal motor vehicle crashes, 1975-present; filter to Georgia (State=13)",U.S.,1975-2023,Annual (~1 year lag)
Safety,Crash Data,Georgia Governor's Office of Highway Safety – Traffic Data,GA GOHS,https://www.gahighwaysafety.org/traffic-records-data-data-sources/,Reports; PDF; county data sheets,"Georgia traffic safety facts; fatalities, serious injuries, impaired driving stats by county",Georgia,Multi-year,Annual
Mobility,Traffic Counts,GDOT TADA (Traffic Analysis & Data Application),Georgia DOT,https://gdottrafficdata.drakewell.com/publicmultinodemap.asp,Interactive web app; CSV export,"~230 permanent ATR sites + 9,000+ portable counters; AADT for ~27,000 segments",Georgia,Multi-year historical,Continuous
Mobility,Traffic Counts,GDOT Traffic Counts (AADT and Truck Percent) 2008-2017,ARC / GDOT,https://opendata.atlantaregional.com/datasets/c9ce7fe9c5f94f338422e4d5c7119158_0,Download (shapefile),Historical AADT and truck percentage data,Georgia,2008-2017,Static (archived)
Mobility,Traffic Counts,Georgia Traffic Monitoring Program Guide,Georgia DOT,https://www.dot.ga.gov/DriveSmart/Data/Documents/Guides/2025_Georgia_Traffic_Monitoring_Program.pdf,PDF,"~35 Continuous Count Stations, WIM sites, short-term portable counts across ~18,000 mi",Georgia,2025,Annual
Mobility,Traffic Counts,GEOCOUNTS - Georgia Traffic Counts,GEOCOUNTS,https://geocounts.com/gdot/,Interactive web app,Third-party interface for exploring Georgia DOT traffic count data,Georgia,Multi-year historical,Continuous
Mobility,Travel Time & Speed,NPMRDS (National Performance Management Research Data Set),FHWA / RITIS,https://npmrds.ritis.org/analytics/,Download (CSV); requires DSA,"Probe-based travel times at 5-min intervals on 400K+ NHS segments; supports LOTTR, TTTR measures",U.S.,2017-present,Continuous (weekly downloads)
Mobility,Railroad Crossings,NTAD - Railroad Grade Crossings,BTS / FRA,https://geodata.bts.gov/maps/usdot::railroad-grade-crossings,"Download (GDB, SHP, CSV, GeoJSON)",National Highway-Rail Crossing Inventory; filter to Georgia and at-grade crossings,U.S.,Varies by layer,Quarterly
Connectivity,Traffic Generators,FAA Airport Data & NPIAS,FAA,https://www.faa.gov/data_research/aviation_data_statistics/data_downloads,"Download (CSV, GDB)",All U.S. airports and aviation facilities; Georgia has 104 public-use airports,U.S.,N/A (current snapshot),Every 28 days
Connectivity,Traffic Generators,Aviation Facilities (BTS/NTAD),BTS,https://geodata.bts.gov/datasets/usdot::aviation-facilities/about,"Download (SHP, GeoJSON, CSV)",Geographic point database of all aerodromes; updated every 28 days,U.S.,N/A (current snapshot),Every 28 days
Connectivity,Traffic Generators,GDOT Aviation Planning,Georgia DOT (GDOT),https://www.dot.ga.gov/GDOT/pages/AviationPlanning.aspx,Reports; plans,Georgia Statewide Aviation System Plan (GSASP) and airport data,Georgia,Current plan,Periodic
Connectivity,Traffic Generators,NPS National Park Boundaries,National Park Service (NPS),https://public-nps.opendata.arcgis.com/datasets/nps-boundary-1,Download (SHP); REST service,Official NPS unit boundaries nationwide; filter to Georgia parks,U.S.,N/A (current boundaries),Continuous
Connectivity,Traffic Generators,Military Installations (TIGER/Line),U.S. Census Bureau,https://catalog.data.gov/dataset/tiger-line-shapefile-2022-nation-u-s-military-installation,Download (shapefile),Military installation boundaries; Fort Stewart/Hunter AAF and Robins AFB in Georgia,U.S.,2015-2024,Annual (TIGER release)
Connectivity,Traffic Generators,NCES IPEDS Postsecondary School Locations,NCES / Dept. of Education,https://nces.ed.gov/programs/edge/Geographic/SchoolLocations,"Download (SHP, CSV)",College and university locations with geocodes; filter to Georgia,U.S.,Multi-year,Annual
Connectivity,Traffic Generators,NCES EDGE Public School Locations,NCES / Dept. of Education,https://nces.ed.gov/programs/edge/geographic/schoollocations,"Download (SHP, CSV); REST service",Geocoded K-12 public schools and districts; useful for school travel and traffic generator analysis,U.S.,2015-16 through 2024-25,Annual
Connectivity,Traffic Generators,HIFLD Hospitals,HIFLD / DHS,https://hifld-geoplatform.hub.arcgis.com/datasets/geoplatform::hospitals-1?layer=0,"Download (CSV, SHP, GeoJSON); REST service","Hospital and medical center locations for access, emergency response, and critical facility analysis",U.S.,Current snapshot,Periodic
Connectivity,EV & Alternative Fuels,NEVI Corridors – Georgia EV Infrastructure,GDOT / FHWA,https://nevi-gdot.hub.arcgis.com/,Interactive hub; downloads,"EV charging corridor plan: I-75, I-85, I-95, I-20, I-16, I-185, US-82, US-441",Georgia,2022-present,Annual (per NEVI requirement)
Connectivity,EV & Alternative Fuels,Alternative Fueling Station Locator,DOE AFDC,https://afdc.energy.gov/corridors,"Download (CSV, GeoJSON, SHP)",EV charging and alternative fuel stations along designated corridors,U.S.,N/A (current snapshot),Continuous
Socioeconomic,Population,Decennial Census 2020,U.S. Census Bureau,https://data.census.gov/,Download (CSV); API,"Total population, housing units, race/ethnicity at block level",U.S.,"2000, 2010, 2020",Every 10 years
Socioeconomic,Population,Census Population Estimates Program (PEP) 2020-2025,U.S. Census Bureau,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/,Download (CSV),"Annual county-level population estimates for all U.S. counties, April 2020 to July 2025",U.S.,2020-2025,Annual
Socioeconomic,Demographics,ACS 5-Year Estimates,U.S. Census Bureau,https://data.census.gov/,Download (CSV); API,"Median income, education, poverty, commute mode at block-group level",U.S.,2005-2009 through 2020-2024,Annual (rolling 5-year window)
Socioeconomic,Commuting,ACS Commuting & Transportation Tables,U.S. Census Bureau,https://data.census.gov/,CSV; API,"Mode share, travel time, vehicles per HH, work-from-home; state/county/tract/block group",U.S.,2005-2009 through 2020-2024,Annual (rolling 5-year window)
